occupancy,mean,std,mae,r2,ab
occ0.2,-19.64592725900725,28.39513312376236,22.76155894936356,0.66088316489502,"(np.float64(0.9736028944678998), np.float64(-19.127300082022423))"
occ0.5,-50.1061685073387,42.5367219227038,52.244556413314506,0.4228323858112847,"(np.float64(0.9721353332299855), np.float64(-48.70998054506334))"
occ0.7,-69.90119700118748,48.4251634792718,71.36356858139881,0.2041073178652537,"(np.float64(0.9669963505246034), np.float64(-67.59410054799159))"
occ0.9,-90.39505153186016,51.59389857838884,91.2505473920904,-0.08085143156098784,"(np.float64(0.9743087141470106), np.float64(-88.07262066962976))"
