occ0.2,occ0.5,occ0.7,occ0.9
-0.487961209059538,17.259160034402434,-27.28757138377364,-42.06428872398713
-8.403375979043819,-33.52576175186141,-41.710589386721,-40.59502431945458
2.2968753543823226,-26.00677510762823,-51.89609605068232,-95.55415290044908
-4.370843718731054,-37.27251289190822,-67.73344396597827,-112.77006931232498
4.201166176076315,-64.37866683526806,-45.525788168746814,-111.99077552850386
-8.395885628276183,-69.35514238234303,-51.49137077334829,-177.7987570150306
-4.075861701676082,-50.45218760254159,-17.35595527915514,0.7481827731076578
2.303492534792248,-120.26601068456,-28.51164848375348,-129.2577136514116
-13.559887161445449,34.29467027799703,-1.608915983681051,-184.16711321883366
-4.962651996841608,3.285775042153432,-48.99975007977718,-34.45149652558379
8.506151855471824,-74.33558057349545,-68.45314656979538,-203.5090746873222
-5.498340659312651,-103.92106313492314,-56.51810126271823,-131.48586433181748
-5.607828729071377,-79.6476657868863,-90.17986111057074,-21.10814456166628
-13.993398758509372,-68.50222258113152,-51.04272271985958,-103.43691579503964
-35.20009036536072,-156.16528812308303,-47.99005833397014,-92.42433279684234
-2.0769203053492333,-39.016032161791685,-125.52355447936596,-109.76858807355575
-45.88637267913167,-75.65293298120667,-41.04232714340644,-93.25204822939658
1.6338340331829144,-145.354003728552,-181.80940557283745,-70.10482430487207
-2.4944663477077,14.159260914939123,-71.20411315005327,-42.674609424534395
-11.866026468949276,-38.64558938867875,11.384212960488142,-40.35187316480643
-25.956308661497776,-139.99558808914009,-100.5396591110496,-64.18081510153921
-22.526385673246267,-67.22774266138582,-114.71452991689397,-80.44836066978215
-10.101109598384705,-34.66566066760566,-71.38832338765546,-62.907251766862444
-8.676166135550371,-30.289288619579057,-7.335462485598541,-84.36989451414648
1.0846730069191397,-18.451639312794804,-38.60427592644241,-29.116086740040828
-4.884240556384512,-10.487589080829652,-63.39770774254536,-69.53434290374584
-0.0906627994250381,-25.086072992115906,-84.0205783059446,-66.59425045868981
-0.2413829561505878,-56.41204081400805,-67.70853746214787,-110.78482226036176
-6.996161018420999,-62.61004921745064,-83.27022186146615,-92.22510255241357
-20.89356030520696,-34.88805917968618,-117.47105905178344,-69.40660088884417
-17.963652628566187,-126.81827936562551,-71.11621717665153,-107.0461272848673
-32.43027032696505,-21.69497775685668,-44.439622007042345,-71.0682723846183
-12.154718319725257,6.6433127987371705,-91.2147980765786,-22.12459728170691
-2.8213563014893026,-63.64456784175197,-87.66245573797583,-62.49475303527119
