occupancy,mean,std,mae,r2,ab
occ0.2,5.437943357833147,16.99067845411049,12.86991919288042,0.9094772261840774,"(np.float64(0.9708547233301557), np.float64(6.010564190952016))"
occ0.5,-2.5214257086161296,26.169222076680263,18.89173682011832,0.9076551005183264,"(np.float64(0.9714442700956771), np.float64(-1.0906113128990478))"
occ0.7,-7.775331162095076,30.79348224668805,23.342723195321348,0.8889789607036254,"(np.float64(0.9709214057254544), np.float64(-5.742612878478236))"
occ0.9,-13.080164608572167,33.81535973273645,27.542520906449624,0.8688425738461556,"(np.float64(0.9726650216204138), np.float64(-10.609147868872437))"
