occupancy,mean,std,mae,r2,ab
occ0.2,1.0276749630594255,12.502995932220443,4.142056479746538,0.9552352848834632,"(np.float64(0.9719069766553462), np.float64(1.5796220457607777))"
occ0.5,-1.810026325962896,21.18817681074257,11.30529181472553,0.9395824489287328,"(np.float64(0.8830935713196322), np.float64(4.047691255348682))"
occ0.7,-1.882990460191476,33.802591278592324,19.5442326636824,0.8738488324955181,"(np.float64(0.815642972882172), np.float64(11.00435533780342))"
occ0.9,0.3983709465664685,33.41870306878381,22.572842374610847,0.8885576387977034,"(np.float64(0.8453088642258307), np.float64(14.382080048987605))"
